T,wm,N,t,U,J,Jphm,w0,g,lbd,k_sz,diis_mem,timestamp
10,8,1,0.1,6.0,0.6,0.1,0.1,0.2,0.05,24,5,202505011819405442109180
10,8,1,0.1,6.0,0.6,0.1,0.1,0.2,0.07,24,5,202505011824394583179177
10,8,1,0.1,6.0,0.8,0.1,0.1,0.1,0.02,24,5,202505011836110810979176
10,8,1,0.1,6.0,0.8,0.1,0.1,0.2,0.02,24,5,202505011845375511509179
10,8,1,0.1,6.0,0.8,0.1,0.1,0.2,0.05,24,5,202505011846201479909174
10,8,1,0.1,6.0,0.8,0.1,0.1,0.1,0.05,24,5,202505011839162444629175
10,8,1,0.1,6.0,1.0,0.1,0.1,0.1,0.05,24,5,202505011903369558479177
10,8,1,0.1,6.0,0.8,0.1,0.1,0.2,0.07,24,5,202505011854320779349181
10,8,1,0.1,6.0,1.0,0.1,0.1,0.1,0.02,24,5,202505011900354690619180
10,8,1,0.1,6.0,1.0,0.1,0.1,0.2,0.02,24,5,202505011915012924199179
10,8,1,0.1,6.0,0.8,0.1,0.1,0.1,0.07,24,5,202505011844331549099178
10,8,1,0.1,6.0,1.0,0.1,0.1,0.1,0.07,24,5,202505011914385330869176
10,8,1,0.2,3.0,0.6,0.1,0.1,0.1,0.02,24,5,202505011937232161579177
10,8,1,0.2,3.0,0.6,0.1,0.1,0.1,0.07,24,5,202505011941037108269180
10,8,1,0.2,3.0,0.6,0.1,0.1,0.2,0.05,24,5,202505011947129691939178
10,8,1,0.2,3.0,0.6,0.1,0.1,0.1,0.05,24,5,202505011940129874389181
10,8,1,0.1,6.0,1.0,0.1,0.1,0.2,0.05,24,5,202505011923078925579174
10,8,1,0.2,3.0,0.6,0.1,0.1,0.2,0.02,24,5,202505011946054578249179
10,8,1,0.2,3.0,0.6,0.1,0.1,0.2,0.07,24,5,202505011951587116789176
10,8,1,0.1,6.0,1.0,0.1,0.1,0.2,0.07,24,5,202505011931029377139175
10,8,1,0.2,3.0,1.0,0.1,0.1,0.1,0.02,24,5,202505012014596331149176
10,8,1,0.2,3.0,0.8,0.1,0.1,0.1,0.05,24,5,202505012007595321339180
10,8,1,0.2,3.0,0.8,0.1,0.1,0.1,0.02,24,5,202505012006186752379177
10,8,1,0.2,3.0,1.0,0.1,0.1,0.1,0.05,24,5,2025050212241564749046462
10,8,1,0.2,3.0,1.0,0.1,0.1,0.2,0.05,24,5,2025050212241710444246466
10,8,1,0.2,3.0,0.8,0.1,0.1,0.1,0.07,24,5,2025050212241498684846463
10,8,1,0.2,3.0,0.8,0.1,0.1,0.2,0.05,24,5,2025050212241564737446465
10,8,1,0.2,3.0,0.8,0.1,0.1,0.2,0.07,24,5,2025050212241565886046461
10,8,1,0.2,3.0,1.0,0.1,0.1,0.1,0.07,24,5,2025050212241595568746468
10,8,1,0.2,4.0,0.6,0.1,0.1,0.1,0.07,24,5,2025050214225919078350038
10,8,1,0.2,3.0,1.0,0.1,0.1,0.2,0.07,24,5,2025050214225819406550039
